,Name,Brand,Model,Battery capacity (mAh),RAM (MB),Internal storage (GB),Rear camera,Front camera,Number of SIMs,4G/ LTE,Price
1,Samsung Galaxy S20 Ultra,Samsung,Galaxy S20 Ultra,5000,12000,128,108,40,2,Yes,92999
2,Samsung Galaxy A70s,Samsung,Galaxy A70s,4500,6000,128,64,32,1,No,25999
3,Realme XT,Realme,XT,4000,4000,64,64,16,2,Yes,14999
4,Realme X2,Realme,X2,4000,4000,64,64,32,2,Yes,16999
789,LeEco Le 2,LeEco,Le 2,3000,3000,32,16,8,2,Yes,6999
5,Realme X2 Pro,Realme,X2 Pro,4000,6000,64,64,16,2,Yes,27999
6,Poco X2,Poco,X2,4500,6000,64,64,20,2,Yes,15999
7,Redmi Note 8 Pro,Xiaomi,Redmi Note 8 Pro,4500,6000,64,64,20,2,Yes,13999
8,Oppo Reno 2Z,Oppo,Reno 2Z,4000,8000,256,48,16,1,No,23100
9,OnePlus 7T Pro,OnePlus,7T Pro,4085,8000,256,48,16,2,Yes,52990
797,Lyf F1,Lyf,F1,3200,3000,32,16,8,2,Yes,6499
798,InFocus Epic 1,InFocus,Epic 1,3000,3000,32,16,8,2,Yes,10999
10,OnePlus 7T Pro McLaren Edition,OnePlus,7T Pro McLaren Edition,4085,12000,256,48,16,2,Yes,58998
11,Realme X,Realme,X,3765,4000,128,48,16,2,Yes,14999
802,Karbonn Titanium Octane Plus,Karbonn,Titanium Octane Plus,2000,2000,16,16,8,2,No,12494
803,Tecno Camon 12 Air,Tecno,Camon 12 Air,4000,4000,64,16,8,2,Yes,9960
12,Oppo A9 2020,Oppo,A9 2020,5000,4000,128,48,16,2,Yes,14730
13,Honor 9X,Honor,9X,4000,4000,128,48,16,2,Yes,13999
806,Homtom H5,Homtom,H5,3300,3000,32,16,8,2,Yes,4840
14,Motorola One Vision,Motorola,One Vision,3500,4000,128,48,25,2,Yes,13690
808,Alcatel 3V,Alcatel,3V,3000,3000,32,16,8,2,Yes,10999
810,Celkon UniQ,Celkon,UniQ,2700,3000,32,16,8,2,Yes,7249
811,Yu Yureka 2,Yu,reka 2,3930,4000,64,16,8,2,Yes,13999
15,Vivo Z1x,Vivo,Z1x,4500,4000,128,48,32,2,Yes,15990
814,LeEco Le Pro 3 Elite,LeEco,Le Pro 3 Elite,4070,4000,32,16,8,2,Yes,10990
16,Samsung Galaxy A50s,Samsung,Galaxy A50s,4000,4000,128,48,32,2,Yes,16650
17,OnePlus 7 Pro,OnePlus,7 Pro,4000,6000,128,48,16,2,Yes,39995
820,ZTE Blade V7 Max,ZTE,Blade V7 Max,3000,3000,32,16,8,2,Yes,4500
18,Oppo Reno 10x Zoom,Oppo,Reno 10x Zoom,4065,6000,128,48,16,2,Yes,36990
19,OnePlus 7,OnePlus,7,3700,6000,128,48,16,2,Yes,29999
823,mPhone 7 Plus,mPhone,7 Plus,2600,3000,32,16,8,2,Yes,7399
20,Xiaomi Redmi K20 Pro,Xiaomi,Redmi K20 Pro,4000,6000,128,48,20,2,No,23190
900,LeEco Le Max 2,LeEco,Le Max 2,3100,4000,32,21,8,2,Yes,7790
901,Yu Yutopia,Yu,topia,3000,4000,32,21,8,2,Yes,29999
